T_REC,HARPNUM,USFLUX,TOTUSJH,TOTUSJZ,R_VALUE,AREA_ACR,TOTPOT,MEANPOT,ABSNJZ,SAVNCPP,MEANGAM,MEANGBT,MEANGBZ,MEANJZD,TOTFZD,SHRGT45,MEANALP,TOTUSHT,EPSX,EPSY,EPSZ
2024.06.30_00:00:00_TAI,11420,2.362215e+22,1070.022,19101470000000.0,3.857,589.68811,4.707264e+23,9574.833,Invalid KeyLink,12836010000000.0,41.818,59.239,62.554,0.14676231,Invalid KeyLink,28.237,-0.01578377,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.06.30_00:12:00_TAI,11420,2.346756e+22,1080.147,19114200000000.0,3.843,589.519104,4.707536e+23,9677.868,Invalid KeyLink,13118480000000.0,41.913,59.564,62.749,0.09534872,Invalid KeyLink,28.438,-0.01618375,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.06.30_00:24:00_TAI,11420,2.376001e+22,1080.083,19750380000000.0,3.834,593.049683,4.71516e+23,9443.696,Invalid KeyLink,13758510000000.0,42.083,59.29,62.975,0.10986881,Invalid KeyLink,28.165,-0.01614833,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.06.30_00:36:00_TAI,11420,2.359205e+22,1060.337,19443960000000.0,3.858,590.52771,4.690448e+23,9462.917,Invalid KeyLink,13080620000000.0,42.345,59.216,63.119,0.10993868,Invalid KeyLink,28.452,-0.01622563,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.06.30_00:48:00_TAI,11420,2.366516e+22,1044.069,19266230000000.0,3.809,591.751953,4.750898e+23,9505.921,Invalid KeyLink,13313410000000.0,42.658,58.752,62.43,0.13660192,Invalid KeyLink,28.791,-0.01604597,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.06.30_01:00:00_TAI,11420,2.37182e+22,1080.043,19499930000000.0,3.808,605.382568,4.744526e+23,9482.084,Invalid KeyLink,12789910000000.0,42.664,58.438,61.998,0.12408998,Invalid KeyLink,28.325,-0.01547604,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.06.30_01:12:00_TAI,11420,2.362756e+22,1046.963,18994060000000.0,3.749,597.442017,4.729878e+23,9487.813,Invalid KeyLink,12940440000000.0,42.874,58.337,61.206,0.11619071,Invalid KeyLink,28.734,-0.01610001,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.06.30_01:24:00_TAI,11420,2.348416e+22,1032.58,18937050000000.0,3.835,596.339233,4.74902e+23,9566.221,Invalid KeyLink,13114270000000.0,43.346,58.242,61.954,0.11871188,Invalid KeyLink,28.983,-0.01609328,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.06.30_01:36:00_TAI,11420,2.355708e+22,1050.689,19225610000000.0,3.759,592.403687,4.759209e+23,9616.59,Invalid KeyLink,12700970000000.0,43.049,58.744,62.633,0.10775974,Invalid KeyLink,29.006,-0.01647398,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.06.30_01:48:00_TAI,11420,2.347869e+22,1050.177,19152100000000.0,3.83,587.841003,4.74979e+23,9596.524,Invalid KeyLink,12996300000000.0,43.153,58.336,62.37,0.06641509,Invalid KeyLink,29.483,-0.01649869,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.06.30_02:00:00_TAI,11420,2.334236e+22,1031.218,18971630000000.0,3.844,587.248535,4.745373e+23,9658.871,Invalid KeyLink,12855260000000.0,43.291,57.777,62.282,0.07954685,Invalid KeyLink,29.894,-0.01614566,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.06.30_02:12:00_TAI,11420,2.346447e+22,1025.267,18753050000000.0,3.784,587.672058,4.74683e+23,9600.589,Invalid KeyLink,12121360000000.0,43.565,57.677,61.659,0.09364807,Invalid KeyLink,29.377,-0.01569784,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.06.30_02:24:00_TAI,11420,2.34357e+22,1041.209,18864130000000.0,3.651,579.02356,4.748903e+23,9680.448,Invalid KeyLink,12175100000000.0,43.389,58.059,62.25,0.12980302,Invalid KeyLink,29.283,-0.01543812,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
