T_REC,HARPNUM,USFLUX,TOTUSJH,TOTUSJZ,R_VALUE,AREA_ACR,TOTPOT,MEANPOT,ABSNJZ,SAVNCPP,MEANGAM,MEANGBT,MEANGBZ,MEANJZD,TOTFZD,SHRGT45,MEANALP,TOTUSHT,EPSX,EPSY,EPSZ
2024.10.28_00:00:00_TAI,12094,1.214512e+23,8498.287,144715100000000.0,4.987,8108.868164,2.102184e+24,10297.94,Invalid KeyLink,18379390000000.0,42.018,106.21,111.715,-0.21642497,Invalid KeyLink,29.16,-0.00161314,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.10.28_00:12:00_TAI,12094,1.212528e+23,8437.034,143396800000000.0,5.007,8117.122559,2.107779e+24,10342.91,Invalid KeyLink,17230190000000.0,41.971,105.799,111.362,-0.21624173,Invalid KeyLink,29.004,-0.00278536,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.10.28_00:24:00_TAI,12094,1.211193e+23,8449.196,144240600000000.0,4.964,8104.805176,2.105455e+24,10326.33,Invalid KeyLink,15329230000000.0,41.933,105.671,111.223,-0.19228466,Invalid KeyLink,28.989,-0.00251615,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.10.28_00:36:00_TAI,12094,1.211835e+23,8474.681,144489500000000.0,5.019,8117.0625,2.103498e+24,10316.26,Invalid KeyLink,15462290000000.0,41.829,105.921,111.284,-0.19394144,Invalid KeyLink,28.784,-0.00273688,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.10.28_00:48:00_TAI,12094,1.211153e+23,8498.861,145106700000000.0,4.967,8126.984863,2.103453e+24,10347.78,Invalid KeyLink,17878460000000.0,41.763,106.155,111.344,-0.20077941,Invalid KeyLink,28.79,-0.00209576,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.10.28_01:00:00_TAI,12094,1.212953e+23,8516.562,144873800000000.0,4.967,8132.18457,2.103507e+24,10328.34,Invalid KeyLink,16738890000000.0,41.764,106.422,111.61,-0.21019137,Invalid KeyLink,28.624,-0.00317693,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.10.28_01:12:00_TAI,12094,1.209119e+23,8491.741,144615000000000.0,4.986,8135.135254,2.09677e+24,10329.96,Invalid KeyLink,16686210000000.0,41.809,106.246,111.618,-0.2102322,Invalid KeyLink,28.772,-0.00301607,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.10.28_01:24:00_TAI,12094,1.209317e+23,8456.546,144129300000000.0,4.935,8144.544434,2.091872e+24,10296.6,Invalid KeyLink,17656100000000.0,41.73,106.444,111.747,-0.22224881,Invalid KeyLink,28.577,-0.00295902,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.10.28_01:36:00_TAI,12094,1.208351e+23,8435.691,143163400000000.0,4.942,8107.745605,2.087787e+24,10305.73,Invalid KeyLink,16326120000000.0,41.687,106.667,111.995,-0.20608851,Invalid KeyLink,28.531,-0.00289853,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.10.28_01:48:00_TAI,12094,1.203617e+23,8378.189,142310700000000.0,4.972,8086.665039,2.082016e+24,10318.7,Invalid KeyLink,17215260000000.0,41.725,106.682,111.783,-0.21818526,Invalid KeyLink,28.562,-0.00294705,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
