T_REC,HARPNUM,USFLUX,TOTUSJH,TOTUSJZ,R_VALUE,AREA_ACR,TOTPOT,MEANPOT,ABSNJZ,SAVNCPP,MEANGAM,MEANGBT,MEANGBZ,MEANJZD,TOTFZD,SHRGT45,MEANALP,TOTUSHT,EPSX,EPSY,EPSZ
2025.12.07_03:48:00_TAI,14108,3.758741e+21,86.42,1921542000000.0,4.694,317.987091,1.273855e+22,1621.359,Invalid KeyLink,628299400000.0,25.436,57.203,72.388,-0.07684905,Invalid KeyLink,7.674,-0.00519437,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_04:00:00_TAI,14108,3.279862e+21,74.421,1770123000000.0,4.538,307.031708,1.170777e+22,1665.558,Invalid KeyLink,345152100000.0,26.82,63.465,80.452,-0.05441872,Invalid KeyLink,10.618,-0.00302022,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_04:12:00_TAI,14108,3.021068e+21,67.308,1646409000000.0,5.021,298.12439,1.072313e+22,1650.19,Invalid KeyLink,191870200000.0,26.456,61.764,78.685,-0.07677935,Invalid KeyLink,11.241,0.00111459,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_04:24:00_TAI,14108,2.566758e+21,73.135,2002465000000.0,4.853,294.782715,1.404225e+22,2360.186,Invalid KeyLink,260361900000.0,28.807,76.654,110.871,-0.11378984,Invalid KeyLink,17.143,-0.00201205,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_04:36:00_TAI,14108,2.300419e+21,56.161,1517465000000.0,4.583,240.419785,1.027319e+22,1926.671,Invalid KeyLink,419155800000.0,27.826,64.893,91.425,-0.20440258,Invalid KeyLink,16.613,-0.00626667,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_04:48:00_TAI,14108,2.157545e+21,52.703,1376993000000.0,4.973,233.734573,8.920516e+21,1811.498,Invalid KeyLink,425918900000.0,26.356,67.897,88.966,0.0831152,Invalid KeyLink,12.513,0.00139905,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_05:00:00_TAI,14108,1.80929e+21,51.203,1453227000000.0,4.788,199.585663,9.471247e+21,2170.337,Invalid KeyLink,346995200000.0,28.983,74.52,115.385,0.00436432,Invalid KeyLink,17.772,0.00490893,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_05:12:00_TAI,14108,1.610995e+21,53.335,1544442000000.0,4.224,193.170135,9.905093e+21,2436.591,Invalid KeyLink,843674000000.0,32.554,73.001,108.574,0.00346988,Invalid KeyLink,19.699,0.00507546,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_05:24:00_TAI,14108,1.451772e+21,33.741,879423100000.0,4.705,181.245865,6.407623e+21,1943.94,Invalid KeyLink,68370310000.0,28.322,71.965,97.689,0.05393064,Invalid KeyLink,12.409,-0.00563627,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_05:36:00_TAI,14108,1.237699e+21,30.343,777040900000.0,4.698,160.47699,6.187202e+21,2164.908,Invalid KeyLink,244561500000.0,28.38,69.751,97.43,0.21642379,Invalid KeyLink,13.801,-0.00929912,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_05:48:00_TAI,14108,1.163002e+21,26.464,664684500000.0,4.777,145.142029,5.03294e+21,1892.976,Invalid KeyLink,135196900000.0,26.692,60.587,85.639,-0.12697698,Invalid KeyLink,10.04,-0.00900036,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_06:00:00_TAI,14108,9.103658e+20,23.868,606099100000.0,5.033,109.841454,4.643584e+21,2197.711,Invalid KeyLink,451381200000.0,28.616,74.748,106.622,0.55542845,Invalid KeyLink,11.565,-0.00315506,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_06:12:00_TAI,14108,7.807296e+20,20.727,552359000000.0,4.839,114.881683,4.640295e+21,2433.205,Invalid KeyLink,272070300000.0,28.38,66.1,108.993,0.37091789,Invalid KeyLink,12.604,-0.00407461,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_06:24:00_TAI,14108,6.239166e+20,10.929,312207500000.0,5.1,99.929848,2.229376e+21,1436.006,Invalid KeyLink,62396840000.0,26.597,55.891,74.413,-0.00701703,Invalid KeyLink,8.982,0.00119676,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_06:36:00_TAI,14108,4.211202e+20,8.919,269762900000.0,5.26,98.014595,2.520964e+21,2199.598,Invalid KeyLink,71702080000.0,28.651,57.012,97.725,0.16265441,Invalid KeyLink,16.107,-0.00397446,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_06:48:00_TAI,14108,2.890409e+20,5.34,185750100000.0,4.792,77.674385,1.470935e+21,1714.544,Invalid KeyLink,90175590000.0,28.062,52.367,88.815,0.26975569,Invalid KeyLink,17.028,0.0032664,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_07:00:00_TAI,14108,1.937248e+20,3.619,133837500000.0,5.146,60.347645,7.953845e+20,1307.673,Invalid KeyLink,172379300000.0,27.687,49.774,71.835,-0.73681879,Invalid KeyLink,12.664,0.01009246,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_07:12:00_TAI,14108,1.313291e+20,3.392,152850300000.0,4.864,54.187634,7.367954e+20,1433.585,Invalid KeyLink,272951100000.0,32.553,53.399,99.411,1.3807466,Invalid KeyLink,28.941,0.01765513,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_07:24:00_TAI,14108,7.598004e+19,1.842,94511380000.0,4.801,39.607235,4.006522e+20,1257.024,Invalid KeyLink,95603340000.0,32.271,66.872,115.984,0.61288345,Invalid KeyLink,30.833,0.02007784,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_07:36:00_TAI,14108,5.113379e+19,1.071,51572390000.0,4.936,23.778242,2.169769e+20,1021.13,Invalid KeyLink,52437110000.0,33.949,61.087,96.94,0.64159179,Invalid KeyLink,27.5,0.0266301,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_00:00:00_TAI,14111,9.120074e+22,7505.718,156135300000000.0,4.94,4765.852539,2.376609e+24,12452.72,Invalid KeyLink,11351160000000.0,52.582,99.742,102.276,0.0840423,Invalid KeyLink,46.901,0.00468581,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_00:12:00_TAI,14111,9.141311e+22,7573.359,157157700000000.0,4.929,4765.44043,2.367134e+24,12387.65,Invalid KeyLink,13463930000000.0,52.338,99.874,102.488,0.13131785,Invalid KeyLink,46.368,0.00397947,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_00:24:00_TAI,14111,9.142755e+22,7559.56,156220900000000.0,4.895,4755.533691,2.368438e+24,12391.8,Invalid KeyLink,13729900000000.0,52.274,99.566,102.481,0.13919924,Invalid KeyLink,46.296,0.00376538,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_00:36:00_TAI,14111,9.222464e+22,7618.057,158731500000000.0,4.871,4750.913574,2.37195e+24,12230.11,Invalid KeyLink,14956550000000.0,52.072,99.438,102.445,0.10919344,Invalid KeyLink,46.027,0.00374031,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_00:48:00_TAI,14111,9.235581e+22,7675.899,159649300000000.0,4.971,4757.06543,2.373959e+24,12197.87,Invalid KeyLink,13109750000000.0,51.976,99.374,102.383,0.11721488,Invalid KeyLink,45.926,0.00403345,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_01:00:00_TAI,14111,9.24313e+22,7672.16,160269900000000.0,4.95,4760.845703,2.374202e+24,12158.37,Invalid KeyLink,12672130000000.0,52.041,99.199,102.298,0.10526846,Invalid KeyLink,45.889,0.00431594,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_01:12:00_TAI,14111,9.263378e+22,7640.083,159701100000000.0,4.964,4757.515137,2.369218e+24,12134.18,Invalid KeyLink,12447820000000.0,51.829,99.6,102.877,0.08205907,Invalid KeyLink,45.551,0.00412973,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_01:24:00_TAI,14111,9.256755e+22,7629.363,158951900000000.0,4.98,4757.221191,2.36032e+24,12116.96,Invalid KeyLink,12242790000000.0,51.785,99.634,102.939,0.10012161,Invalid KeyLink,45.521,0.00376958,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_01:36:00_TAI,14111,9.251268e+22,7610.038,158585200000000.0,4.973,4765.995605,2.362557e+24,12137.71,Invalid KeyLink,9928181000000.0,51.828,99.27,102.843,0.07371004,Invalid KeyLink,45.632,0.00374889,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_01:48:00_TAI,14111,9.306093e+22,7723.75,161322300000000.0,4.978,4768.213379,2.369245e+24,12034.04,Invalid KeyLink,12238580000000.0,51.73,99.292,102.639,0.12077767,Invalid KeyLink,45.372,0.00384799,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_02:00:00_TAI,14111,9.305637e+22,7638.707,160286200000000.0,5.01,4768.291504,2.360287e+24,12061.53,Invalid KeyLink,12636640000000.0,51.569,99.454,102.926,0.11513681,Invalid KeyLink,45.194,0.0040439,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_02:12:00_TAI,14111,9.312184e+22,7646.303,160283200000000.0,5.017,4765.922852,2.35664e+24,12038.89,Invalid KeyLink,15231720000000.0,51.544,99.732,102.904,0.07052617,Invalid KeyLink,45.148,0.00316122,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_02:24:00_TAI,14111,9.30654e+22,7672.172,160598200000000.0,4.988,4760.66748,2.359259e+24,12030.88,Invalid KeyLink,13591240000000.0,51.644,99.378,102.542,0.06538375,Invalid KeyLink,45.359,0.00318265,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_02:36:00_TAI,14111,9.310067e+22,7667.875,160368400000000.0,5.006,4753.50293,2.357689e+24,12019.45,Invalid KeyLink,15470210000000.0,51.616,99.498,102.608,0.08157734,Invalid KeyLink,45.413,0.00276036,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_02:48:00_TAI,14111,9.299502e+22,7670.107,159798600000000.0,5.01,4751.604004,2.351485e+24,12052.78,Invalid KeyLink,17553550000000.0,51.591,99.72,102.741,0.06731844,Invalid KeyLink,45.365,0.00261243,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_03:00:00_TAI,14111,9.283867e+22,7675.488,158733800000000.0,5.038,4738.902832,2.3422e+24,12097.42,Invalid KeyLink,17524840000000.0,51.418,100.257,103.506,0.05884533,Invalid KeyLink,45.152,0.00244362,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_03:12:00_TAI,14111,9.270976e+22,7632.431,157957200000000.0,5.02,4751.357422,2.346322e+24,12172.73,Invalid KeyLink,17404780000000.0,51.44,100.462,103.887,0.05156663,Invalid KeyLink,45.088,0.00237465,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_03:24:00_TAI,14111,9.283876e+22,7646.459,159004500000000.0,5.047,4775.439941,2.35662e+24,12190.38,Invalid KeyLink,16776680000000.0,51.512,100.54,103.82,0.0626066,Invalid KeyLink,45.048,0.00246069,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_03:36:00_TAI,14111,9.281748e+22,7671.055,159068300000000.0,5.09,4777.456055,2.359805e+24,12241.33,Invalid KeyLink,16486510000000.0,51.565,100.917,104.156,0.09818852,Invalid KeyLink,45.1,0.00242201,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_03:48:00_TAI,14111,9.248721e+22,7620.787,157569000000000.0,5.079,4785.011719,2.353083e+24,12297.79,Invalid KeyLink,16347430000000.0,51.622,100.779,104.201,0.10717506,Invalid KeyLink,45.2,0.00249809,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_04:00:00_TAI,14111,9.234022e+22,7654.394,158288100000000.0,5.089,4790.634766,2.353692e+24,12366.03,Invalid KeyLink,14685400000000.0,51.726,101.451,104.729,0.11843033,Invalid KeyLink,45.181,0.00296045,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_04:12:00_TAI,14111,9.211865e+22,7588.831,157159200000000.0,5.084,4778.540039,2.364003e+24,12451.74,Invalid KeyLink,15485450000000.0,51.805,101.681,104.74,0.12699683,Invalid KeyLink,45.478,0.00228604,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_04:24:00_TAI,14111,9.15868e+22,7613.704,157140300000000.0,5.111,4779.236328,2.364114e+24,12587.57,Invalid KeyLink,16137350000000.0,52.006,102.1,104.991,0.11562582,Invalid KeyLink,45.829,0.00179366,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_04:36:00_TAI,14111,9.126977e+22,7606.303,155974200000000.0,5.094,4776.283203,2.366092e+24,12662.31,Invalid KeyLink,17061310000000.0,52.134,102.051,105.045,0.12514563,Invalid KeyLink,46.063,0.00189089,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_04:48:00_TAI,14111,9.11539e+22,7572.77,154544100000000.0,5.1,4765.309082,2.354387e+24,12718.99,Invalid KeyLink,15463910000000.0,51.963,102.431,105.479,0.13012315,Invalid KeyLink,45.603,0.00124392,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_05:00:00_TAI,14111,9.047315e+22,7511.343,153124100000000.0,5.127,4756.306152,2.351216e+24,12836.03,Invalid KeyLink,14577810000000.0,52.086,102.921,105.96,0.17693709,Invalid KeyLink,45.85,0.0018954,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
