T_REC,HARPNUM,USFLUX,TOTUSJH,TOTUSJZ,R_VALUE,AREA_ACR,TOTPOT,MEANPOT,ABSNJZ,SAVNCPP,MEANGAM,MEANGBT,MEANGBZ,MEANJZD,TOTFZD,SHRGT45,MEANALP,TOTUSHT,EPSX,EPSY,EPSZ
2024.09.13_00:00:00_TAI,11786,8.262005e+22,4547.058,91349630000000.0,5.177,2562.704102,5.748242e+23,3286.198,Invalid KeyLink,45958430000000.0,29.673,84.51,87.182,-0.08954331,Invalid KeyLink,8.898,-0.03002654,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.09.13_00:12:00_TAI,11786,8.25449e+22,4506.691,90184690000000.0,5.127,2539.077148,5.688089e+23,3260.176,Invalid KeyLink,42815270000000.0,29.547,83.82,85.985,-0.12992035,Invalid KeyLink,8.542,-0.02945977,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.09.13_00:24:00_TAI,11786,8.221675e+22,4544.316,90789020000000.0,5.076,2519.09668,5.704125e+23,3274.826,Invalid KeyLink,42491070000000.0,29.66,84.604,87.157,-0.12459292,Invalid KeyLink,8.754,-0.02927928,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.09.13_00:36:00_TAI,11786,8.220444e+22,4544.814,91140840000000.0,5.039,2517.913818,5.751241e+23,3294.943,Invalid KeyLink,41472660000000.0,29.571,85.187,88.083,-0.12325617,Invalid KeyLink,8.684,-0.02872103,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.09.13_00:48:00_TAI,11786,8.175204e+22,4490.893,89970130000000.0,5.081,2504.279785,5.702195e+23,3295.781,Invalid KeyLink,40274280000000.0,29.472,84.672,87.212,-0.11354362,Invalid KeyLink,8.495,-0.02867109,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.09.13_01:00:00_TAI,11786,8.141523e+22,4431.396,88891230000000.0,5.111,2497.707764,5.6385e+23,3275.813,Invalid KeyLink,42704290000000.0,29.441,83.98,86.354,-0.11909325,Invalid KeyLink,8.588,-0.02957931,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.09.13_01:12:00_TAI,11786,8.170112e+22,4418.114,88104330000000.0,5.043,2482.988281,5.590095e+23,3236.828,Invalid KeyLink,44116550000000.0,29.392,83.046,84.968,-0.15743087,Invalid KeyLink,8.373,-0.02994471,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.09.13_01:24:00_TAI,11786,8.125683e+22,4449.665,88680180000000.0,5.058,2471.597168,5.708957e+23,3324.288,Invalid KeyLink,42481170000000.0,29.517,84.541,87.287,-0.12848024,Invalid KeyLink,8.889,-0.02952536,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.09.13_01:36:00_TAI,11786,8.111331e+22,4470.639,89017880000000.0,5.042,2461.376465,5.667021e+23,3323.953,Invalid KeyLink,44027660000000.0,29.356,84.608,87.485,-0.12039021,Invalid KeyLink,8.715,-0.02981502,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.09.13_01:48:00_TAI,11786,8.060153e+22,4389.005,87608370000000.0,5.08,2432.187012,5.560245e+23,3281.827,Invalid KeyLink,43879470000000.0,29.375,83.842,86.291,-0.12537967,Invalid KeyLink,8.672,-0.0296782,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.09.13_02:00:00_TAI,11786,7.911291e+22,4404.614,87270090000000.0,5.106,2419.777832,5.737175e+23,3470.2,Invalid KeyLink,40702210000000.0,29.346,86.408,90.863,-0.12364931,Invalid KeyLink,9.173,-0.02818385,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.09.13_02:12:00_TAI,11786,7.900861e+22,4360.716,85359770000000.0,5.062,2415.616699,5.547635e+23,3399.299,Invalid KeyLink,45044460000000.0,29.096,85.664,88.439,-0.15501231,Invalid KeyLink,8.538,-0.03030329,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
