T_REC,HARPNUM,USFLUX,TOTUSJH,TOTUSJZ,R_VALUE,AREA_ACR,TOTPOT,MEANPOT,ABSNJZ,SAVNCPP,MEANGAM,MEANGBT,MEANGBZ,MEANJZD,TOTFZD,SHRGT45,MEANALP,TOTUSHT,EPSX,EPSY,EPSZ
2025.01.26_00:00:00_TAI,12589,6.956058e+22,3539.212,53077440000000.0,4.346,2893.715576,1.125735e+24,10348.85,Invalid KeyLink,32398220000000.0,34.892,76.15,83.762,-0.06863853,Invalid KeyLink,19.842,0.01584278,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.26_00:12:00_TAI,12589,6.878417e+22,3497.527,53108540000000.0,4.323,2902.83252,1.162238e+24,10722.52,Invalid KeyLink,27859010000000.0,35.284,77.14,85.33,-0.14115237,Invalid KeyLink,20.901,0.01468371,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.26_00:24:00_TAI,12589,6.95904e+22,3603.046,53837480000000.0,4.39,2918.632324,1.128364e+24,10367.07,Invalid KeyLink,33152730000000.0,35.119,75.601,82.749,-0.07269599,Invalid KeyLink,20.513,0.01584725,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.26_00:36:00_TAI,12589,6.93617e+22,3591.314,53556570000000.0,4.436,2890.574951,1.122205e+24,10328.12,Invalid KeyLink,30152200000000.0,35.2,75.797,82.255,-0.04446563,Invalid KeyLink,20.53,0.01580111,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.26_00:48:00_TAI,12589,6.907888e+22,3561.949,52725420000000.0,4.377,2888.905518,1.107566e+24,10280.09,Invalid KeyLink,30289540000000.0,34.897,76.054,82.996,-0.05370916,Invalid KeyLink,20.118,0.01480278,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.26_01:00:00_TAI,12589,6.918568e+22,3585.475,52649260000000.0,4.426,2899.345947,1.105359e+24,10265.81,Invalid KeyLink,27950690000000.0,34.846,75.493,82.45,-0.03879275,Invalid KeyLink,20.001,0.01459264,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.26_01:12:00_TAI,12589,6.908855e+22,3562.987,52569540000000.0,4.323,2884.602539,1.090751e+24,10150.93,Invalid KeyLink,25984850000000.0,34.835,75.412,82.058,-0.10181125,Invalid KeyLink,20.205,0.01452543,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.26_01:24:00_TAI,12589,6.889263e+22,3523.215,51901340000000.0,4.297,2880.831543,1.096086e+24,10244.12,Invalid KeyLink,25589650000000.0,34.768,75.341,82.259,-0.16621117,Invalid KeyLink,20.147,0.01417067,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.26_01:36:00_TAI,12589,6.882822e+22,3490.294,50753740000000.0,4.294,2874.219727,1.0962e+24,10249.64,Invalid KeyLink,27327120000000.0,34.755,74.489,80.925,-0.07853186,Invalid KeyLink,19.813,0.01473639,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.26_01:48:00_TAI,12589,6.892547e+22,3475.156,51521790000000.0,4.362,2890.308594,1.101499e+24,10237.29,Invalid KeyLink,25942210000000.0,34.931,74.414,80.732,-0.14260064,Invalid KeyLink,20.027,0.01435037,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
