T_REC,HARPNUM,USFLUX,TOTUSJH,TOTUSJZ,R_VALUE,AREA_ACR,TOTPOT,MEANPOT,ABSNJZ,SAVNCPP,MEANGAM,MEANGBT,MEANGBZ,MEANJZD,TOTFZD,SHRGT45,MEANALP,TOTUSHT,EPSX,EPSY,EPSZ
2025.01.11_00:00:00_TAI,12515,1.320562e+22,535.619,9980089000000.0,3.836,530.233704,3.55908e+22,1482.35,Invalid KeyLink,1333825000000.0,21.89,93.913,96.046,-0.14505576,Invalid KeyLink,0.686,0.00209659,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.11_00:12:00_TAI,12515,1.31428e+22,536.614,10005520000000.0,3.942,521.712769,3.553891e+22,1489.167,Invalid KeyLink,979253400000.0,21.885,94.38,96.699,-0.10055692,Invalid KeyLink,0.835,0.00245275,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.11_00:24:00_TAI,12515,1.31494e+22,534.312,10004380000000.0,4.202,520.242737,3.525782e+22,1468.644,Invalid KeyLink,1083427000000.0,22.037,93.708,95.998,-0.04113223,Invalid KeyLink,0.885,0.00321903,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.11_00:36:00_TAI,12515,1.294567e+22,523.931,9777283000000.0,4.204,507.853027,3.446512e+22,1463.062,Invalid KeyLink,1139107000000.0,21.889,93.292,95.642,-0.0680943,Invalid KeyLink,0.71,0.00269712,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.11_00:48:00_TAI,12515,1.296217e+22,518.162,9708974000000.0,4.257,510.828247,3.384148e+22,1430.62,Invalid KeyLink,488962200000.0,21.691,92.501,94.756,-0.05166962,Invalid KeyLink,0.578,0.00122168,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.11_01:00:00_TAI,12515,1.280099e+22,508.703,9530418000000.0,3.934,502.187469,3.354557e+22,1428.052,Invalid KeyLink,871696500000.0,21.904,91.299,93.611,-0.0311067,Invalid KeyLink,0.808,0.00231582,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.11_01:12:00_TAI,12515,1.26924e+22,498.933,9295617000000.0,3.901,493.317047,3.316853e+22,1430.357,Invalid KeyLink,1547959000000.0,21.761,91.216,93.56,0.01303395,Invalid KeyLink,0.607,0.00410824,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.11_01:24:00_TAI,12515,1.273799e+22,500.61,9354245000000.0,3.687,484.78717,3.338651e+22,1433.437,Invalid KeyLink,1621754000000.0,21.764,91.685,93.846,-0.00467684,Invalid KeyLink,0.673,0.00351009,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.11_01:36:00_TAI,12515,1.272201e+22,501.818,9340277000000.0,3.958,479.154816,3.273449e+22,1406.084,Invalid KeyLink,1835411000000.0,21.628,90.796,92.915,-0.1229791,Invalid KeyLink,0.508,0.00479874,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.01.11_01:48:00_TAI,12515,1.261482e+22,493.272,9176371000000.0,3.842,469.092529,3.294458e+22,1427.568,Invalid KeyLink,1277421000000.0,21.64,90.861,92.833,-0.14449528,Invalid KeyLink,0.541,0.00298222,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
