T_REC,HARPNUM,USFLUX,TOTUSJH,TOTUSJZ,R_VALUE,AREA_ACR,TOTPOT,MEANPOT,ABSNJZ,SAVNCPP,MEANGAM,MEANGBT,MEANGBZ,MEANJZD,TOTFZD,SHRGT45,MEANALP,TOTUSHT,EPSX,EPSY,EPSZ
2025.02.25_00:00:00_TAI,12755,1.141737e+22,570.318,7696088000000.0,4.357,355.40274,1.618013e+23,9211.722,Invalid KeyLink,5015143000000.0,34.356,73.812,77.155,-0.7357704,Invalid KeyLink,22.615,-0.00714074,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.02.25_00:12:00_TAI,12755,1.140953e+22,564.118,7694321000000.0,4.413,352.26767,1.613695e+23,9136.71,Invalid KeyLink,4817407000000.0,34.204,73.657,76.905,-0.70285922,Invalid KeyLink,22.099,-0.00726149,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.02.25_00:24:00_TAI,12755,1.134279e+22,550.676,7622422000000.0,4.352,347.440369,1.614325e+23,9094.468,Invalid KeyLink,4317906000000.0,34.665,72.34,75.273,-0.62680459,Invalid KeyLink,22.535,-0.00728173,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.02.25_00:36:00_TAI,12755,1.122045e+22,532.843,7288963000000.0,4.376,351.767303,1.601101e+23,9134.088,Invalid KeyLink,4723380000000.0,34.973,72.087,75.07,-0.69431818,Invalid KeyLink,22.57,-0.00765365,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.02.25_00:48:00_TAI,12755,1.122364e+22,548.362,7591784000000.0,4.43,346.733856,1.605719e+23,9095.651,Invalid KeyLink,4510354000000.0,35.316,72.516,75.83,-0.65829492,Invalid KeyLink,23.005,-0.00703616,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.02.25_01:00:00_TAI,12755,1.110289e+22,534.887,7416263000000.0,4.265,347.948395,1.594327e+23,9112.701,Invalid KeyLink,4545320000000.0,35.249,72.176,75.402,-0.66936958,Invalid KeyLink,23.0,-0.00839257,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.02.25_01:12:00_TAI,12755,1.105337e+22,539.187,7312092000000.0,4.52,347.860962,1.579569e+23,9137.247,Invalid KeyLink,4827218000000.0,34.675,71.619,75.018,-0.7194348,Invalid KeyLink,22.125,-0.0090573,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.02.25_01:24:00_TAI,12755,1.105859e+22,532.784,7293036000000.0,4.339,345.680115,1.583928e+23,9136.488,Invalid KeyLink,4397266000000.0,34.874,71.899,74.922,-0.65347767,Invalid KeyLink,22.598,-0.0087411,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.02.25_01:36:00_TAI,12755,1.102306e+22,535.387,7258361000000.0,4.443,335.485931,1.582548e+23,9177.741,Invalid KeyLink,4235554000000.0,34.821,72.032,75.078,-0.63281935,Invalid KeyLink,21.796,-0.00862488,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.02.25_01:48:00_TAI,12755,1.092632e+22,541.085,7176791000000.0,4.364,338.822998,1.574569e+23,9307.087,Invalid KeyLink,4118189000000.0,34.837,71.691,74.649,-0.6270979,Invalid KeyLink,22.129,-0.00928977,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
