T_REC,HARPNUM,USFLUX,TOTUSJH,TOTUSJZ,R_VALUE,AREA_ACR,TOTPOT,MEANPOT,ABSNJZ,SAVNCPP,MEANGAM,MEANGBT,MEANGBZ,MEANJZD,TOTFZD,SHRGT45,MEANALP,TOTUSHT,EPSX,EPSY,EPSZ
2026.05.06_00:00:00_TAI,14624,2.57264e+22,923.36,19556910000000.0,3.988,524.941772,3.07767e+23,5399.076,Invalid KeyLink,1643728000000.0,37.037,52.707,57.068,-0.00237619,Invalid KeyLink,19.349,0.0029331,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_00:12:00_TAI,14624,2.54484e+22,895.221,18686380000000.0,4.046,531.786499,3.004352e+23,5415.679,Invalid KeyLink,3449759000000.0,36.543,52.694,57.331,0.0176489,Invalid KeyLink,18.658,0.00470731,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_00:24:00_TAI,14624,2.545291e+22,907.029,18786020000000.0,4.17,530.558594,3.02666e+23,5437.149,Invalid KeyLink,3787365000000.0,36.717,51.8,55.552,0.01700128,Invalid KeyLink,18.978,0.00532435,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_00:36:00_TAI,14624,2.524207e+22,896.07,18463600000000.0,3.914,524.560852,3.014926e+23,5475.505,Invalid KeyLink,3215536000000.0,36.78,52.055,55.902,0.0429366,Invalid KeyLink,19.257,0.00495698,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_00:48:00_TAI,14624,2.517331e+22,926.73,19021910000000.0,4.035,518.733765,3.025797e+23,5522.556,Invalid KeyLink,2729666000000.0,36.44,52.759,58.243,0.04134485,Invalid KeyLink,19.183,0.00387029,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_01:00:00_TAI,14624,2.50313e+22,860.031,17986530000000.0,4.263,517.92157,3.000633e+23,5499.688,Invalid KeyLink,3291595000000.0,36.617,50.929,55.041,-0.02524137,Invalid KeyLink,19.117,0.00454352,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_01:12:00_TAI,14624,2.490666e+22,867.142,17820770000000.0,3.885,509.236298,2.975919e+23,5496.132,Invalid KeyLink,2941412000000.0,36.576,51.159,55.152,0.01579623,Invalid KeyLink,19.413,0.0046511,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_01:24:00_TAI,14624,2.484013e+22,870.436,17722950000000.0,4.154,503.662659,2.952533e+23,5485.635,Invalid KeyLink,3969396000000.0,36.328,51.172,55.233,0.04849939,Invalid KeyLink,19.219,0.00490106,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_01:36:00_TAI,14624,2.444814e+22,842.615,17587580000000.0,4.146,508.878448,2.951027e+23,5547.583,Invalid KeyLink,3711760000000.0,36.96,51.053,55.48,0.0745354,Invalid KeyLink,19.853,0.0050384,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_01:48:00_TAI,14624,2.430375e+22,848.203,17673290000000.0,4.195,497.296478,2.965528e+23,5569.976,Invalid KeyLink,2529631000000.0,37.254,51.281,55.642,0.04802364,Invalid KeyLink,19.97,0.00447133,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_02:00:00_TAI,14624,2.434938e+22,850.447,17709840000000.0,4.008,499.678009,2.959638e+23,5553.374,Invalid KeyLink,3203227000000.0,37.23,51.78,55.846,0.02546795,Invalid KeyLink,20.187,0.00391234,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_02:12:00_TAI,14624,2.415825e+22,829.865,17295950000000.0,4.131,504.269714,2.972668e+23,5611.942,Invalid KeyLink,4042421000000.0,37.5,50.933,55.078,0.07909294,Invalid KeyLink,20.431,0.00446006,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_02:24:00_TAI,14624,2.389059e+22,823.4,17194470000000.0,4.131,501.192322,3.017157e+23,5733.593,Invalid KeyLink,3107324000000.0,37.994,51.062,55.865,0.01693828,Invalid KeyLink,21.272,0.00516485,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_02:36:00_TAI,14624,2.369449e+22,825.657,16846320000000.0,4.034,506.309723,2.987861e+23,5797.012,Invalid KeyLink,1872888000000.0,37.847,50.274,54.623,0.04417719,Invalid KeyLink,20.41,0.00427396,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_02:48:00_TAI,14624,2.343579e+22,843.448,17463750000000.0,4.044,509.582001,2.983466e+23,5856.847,Invalid KeyLink,3221588000000.0,38.078,51.314,55.818,0.05614655,Invalid KeyLink,21.104,0.00507982,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_03:00:00_TAI,14624,2.316545e+22,830.648,17266180000000.0,3.968,504.760284,2.976262e+23,5881.498,Invalid KeyLink,2800579000000.0,38.341,51.192,56.225,0.02987647,Invalid KeyLink,21.407,0.00496671,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_03:12:00_TAI,14624,2.305975e+22,818.847,16641040000000.0,3.956,503.042999,2.924062e+23,5830.831,Invalid KeyLink,2299382000000.0,38.208,50.818,55.223,0.09366084,Invalid KeyLink,21.178,0.00492019,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_03:24:00_TAI,14624,2.296808e+22,816.473,16730490000000.0,4.002,493.29483,2.957144e+23,5865.578,Invalid KeyLink,2928173000000.0,38.61,50.062,54.96,0.07698862,Invalid KeyLink,22.117,0.00486938,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_03:36:00_TAI,14624,2.273166e+22,795.248,15788530000000.0,3.951,492.899384,2.950377e+23,5952.668,Invalid KeyLink,2464523000000.0,38.843,49.639,54.088,0.08404456,Invalid KeyLink,22.151,0.00426078,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_03:48:00_TAI,14624,2.268206e+22,826.43,16646160000000.0,4.01,502.416199,2.983848e+23,5995.938,Invalid KeyLink,3166326000000.0,38.881,51.077,57.327,0.10336298,Invalid KeyLink,23.015,0.00473478,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_04:00:00_TAI,14624,2.249668e+22,789.88,15771670000000.0,4.109,486.779144,2.920755e+23,5932.163,Invalid KeyLink,2963454000000.0,39.123,48.675,52.475,0.14931896,Invalid KeyLink,22.639,0.00423976,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_04:12:00_TAI,14624,2.219484e+22,768.702,15468120000000.0,4.168,482.204041,2.884884e+23,5980.122,Invalid KeyLink,3039115000000.0,39.033,48.687,52.087,0.15628517,Invalid KeyLink,22.687,0.00362974,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_04:24:00_TAI,14624,2.210251e+22,773.498,15508200000000.0,4.103,493.770905,2.947718e+23,6095.27,Invalid KeyLink,3178775000000.0,39.508,48.47,53.168,0.16305949,Invalid KeyLink,23.477,0.00327767,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2026.05.06_04:36:00_TAI,14624,2.178328e+22,771.632,15182180000000.0,4.151,495.305573,2.931642e+23,6263.087,Invalid KeyLink,3010147000000.0,39.525,48.961,53.621,0.11361509,Invalid KeyLink,24.289,0.00323269,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
