T_REC,HARPNUM,USFLUX,TOTUSJH,TOTUSJZ,R_VALUE,AREA_ACR,TOTPOT,MEANPOT,ABSNJZ,SAVNCPP,MEANGAM,MEANGBT,MEANGBZ,MEANJZD,TOTFZD,SHRGT45,MEANALP,TOTUSHT,EPSX,EPSY,EPSZ
2025.09.08_00:00:00_TAI,13722,1.519758e+21,63.555,1527976000000.0,0.0,36.322479,4.304662e+21,1211.268,Invalid KeyLink,119774800000.0,26.018,85.339,85.211,0.08383322,Invalid KeyLink,0.561,0.0020207,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.09.08_00:12:00_TAI,13722,1.49204e+21,61.756,1480119000000.0,0.0,34.472481,4.187413e+21,1205.301,Invalid KeyLink,23549170000.0,25.799,84.666,84.513,0.0168603,Invalid KeyLink,0.573,0.00107836,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.09.08_00:24:00_TAI,13722,1.492355e+21,62.332,1526790000000.0,0.0,33.53447,4.223005e+21,1197.239,Invalid KeyLink,176991300000.0,26.105,83.603,83.355,0.12480783,Invalid KeyLink,0.565,0.00368393,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.09.08_00:36:00_TAI,13722,1.491979e+21,61.433,1477504000000.0,0.0,33.747208,4.140336e+21,1183.157,Invalid KeyLink,92686790000.0,25.873,83.69,83.405,0.06587882,Invalid KeyLink,0.569,0.00329539,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.09.08_00:48:00_TAI,13722,1.506116e+21,64.682,1557038000000.0,0.0,33.319679,4.254547e+21,1206.182,Invalid KeyLink,172096700000.0,26.145,83.91,83.725,0.12135107,Invalid KeyLink,0.452,0.0035743,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.09.08_01:00:00_TAI,13722,1.491261e+21,61.592,1465480000000.0,0.0,34.505932,4.253389e+21,1227.105,Invalid KeyLink,136555900000.0,26.228,84.126,83.638,0.09798498,Invalid KeyLink,0.345,0.00179395,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.09.08_01:12:00_TAI,13722,1.47918e+21,60.745,1449140000000.0,0.0,35.700527,4.146101e+21,1194.78,Invalid KeyLink,315022500000.0,26.045,82.064,82.011,0.22577839,Invalid KeyLink,0.765,0.0050325,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.09.08_01:24:00_TAI,13722,1.471299e+21,59.733,1438004000000.0,0.0,36.017174,4.19193e+21,1231.552,Invalid KeyLink,289608500000.0,26.023,84.508,84.375,0.21160866,Invalid KeyLink,0.507,0.00483793,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.09.08_01:36:00_TAI,13722,1.477001e+21,59.682,1433359000000.0,0.0,33.884209,4.22991e+21,1235.959,Invalid KeyLink,473175200000.0,26.236,84.311,84.232,0.34385008,Invalid KeyLink,0.854,0.00846597,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.09.08_01:48:00_TAI,13722,1.461864e+21,59.705,1396564000000.0,0.0,33.069275,4.298686e+21,1299.942,Invalid KeyLink,140797500000.0,25.948,86.122,85.951,0.10588837,Invalid KeyLink,0.803,0.00454188,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
