T_REC,HARPNUM,USFLUX,TOTUSJH,TOTUSJZ,R_VALUE,AREA_ACR,TOTPOT,MEANPOT,ABSNJZ,SAVNCPP,MEANGAM,MEANGBT,MEANGBZ,MEANJZD,TOTFZD,SHRGT45,MEANALP,TOTUSHT,EPSX,EPSY,EPSZ
2024.03.02_00:00:00_TAI,10856,4.088991e+22,1670.825,28863490000000.0,4.978,1694.259033,8.776078e+23,10236.34,Invalid KeyLink,17430890000000.0,43.851,43.188,49.471,0.32639706,Invalid KeyLink,29.628,-0.01941058,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_00:12:00_TAI,10856,4.002265e+22,1630.927,28254260000000.0,5.105,1680.301147,8.297326e+23,10019.69,Invalid KeyLink,18846440000000.0,43.348,43.343,49.619,0.31888878,Invalid KeyLink,29.104,-0.02116816,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_00:24:00_TAI,10856,3.971742e+22,1622.562,27696050000000.0,5.087,1653.803467,8.013824e+23,9731.339,Invalid KeyLink,15361260000000.0,42.989,43.148,49.429,0.30144453,Invalid KeyLink,28.477,-0.01913023,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_00:36:00_TAI,10856,3.940491e+22,1640.287,30097160000000.0,5.023,1630.692871,8.040147e+23,9851.316,Invalid KeyLink,2524396000000.0,43.063,46.824,56.565,0.06677955,Invalid KeyLink,29.4,0.00538105,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_00:48:00_TAI,10856,3.794706e+22,1558.831,28936940000000.0,5.054,1608.369629,7.955914e+23,9917.72,Invalid KeyLink,3012218000000.0,43.773,46.353,54.802,-0.04280068,Invalid KeyLink,29.059,-0.00812388,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_01:00:00_TAI,10856,3.80052e+22,1538.021,26604510000000.0,5.048,1585.28418,7.137674e+23,9092.188,Invalid KeyLink,15789660000000.0,42.587,43.29,49.141,0.36043125,Invalid KeyLink,27.752,-0.01971159,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_01:12:00_TAI,10856,3.762187e+22,1509.625,25558620000000.0,5.099,1574.178711,7.009505e+23,9050.648,Invalid KeyLink,15275840000000.0,42.305,42.569,48.098,0.36052561,Invalid KeyLink,27.45,-0.01986922,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_01:24:00_TAI,10856,3.723107e+22,1489.137,25085870000000.0,5.066,1547.601562,6.683443e+23,8731.147,Invalid KeyLink,15760310000000.0,41.701,42.905,48.391,0.34550542,Invalid KeyLink,26.026,-0.02020232,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_01:36:00_TAI,10856,3.688924e+22,1473.835,24999890000000.0,5.217,1535.949585,6.628106e+23,8641.464,Invalid KeyLink,12990460000000.0,42.301,42.2,47.215,0.3820276,Invalid KeyLink,26.796,-0.01916898,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_01:48:00_TAI,10856,3.63919e+22,1434.615,24380380000000.0,5.188,1511.078003,6.163098e+23,8217.031,Invalid KeyLink,14257490000000.0,41.188,42.175,47.107,0.34469956,Invalid KeyLink,25.166,-0.01978249,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_02:00:00_TAI,10856,3.580248e+22,1398.938,24347530000000.0,5.242,1496.792847,5.882287e+23,7982.276,Invalid KeyLink,13158550000000.0,40.915,43.199,48.192,0.32827905,Invalid KeyLink,25.118,-0.01960615,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_02:12:00_TAI,10856,3.558225e+22,1358.495,23370560000000.0,5.366,1446.214844,5.792901e+23,7824.46,Invalid KeyLink,16260010000000.0,41.204,41.847,47.459,0.33357006,Invalid KeyLink,25.226,-0.0211196,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_02:24:00_TAI,10856,3.510334e+22,1319.216,23076460000000.0,5.313,1421.93457,5.56126e+23,7579.424,Invalid KeyLink,15645240000000.0,41.259,41.727,46.795,0.39053667,Invalid KeyLink,25.233,-0.02058624,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_02:36:00_TAI,10856,3.490026e+22,1319.927,22300350000000.0,5.363,1435.383057,5.169733e+23,7190.937,Invalid KeyLink,13065440000000.0,40.083,41.656,46.472,0.3680068,Invalid KeyLink,23.113,-0.02008336,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_02:48:00_TAI,10856,3.460821e+22,1266.54,21596530000000.0,5.438,1409.00708,4.919762e+23,6843.236,Invalid KeyLink,13729410000000.0,39.947,41.216,45.736,0.38865724,Invalid KeyLink,22.688,-0.02040248,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_03:00:00_TAI,10856,3.449433e+22,1279.249,21770040000000.0,5.341,1360.282959,4.691818e+23,6505.861,Invalid KeyLink,14026340000000.0,39.95,40.928,45.312,0.40162691,Invalid KeyLink,22.524,-0.02047918,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_03:12:00_TAI,10856,3.391457e+22,1252.635,21364260000000.0,5.404,1350.076416,4.472364e+23,6354.021,Invalid KeyLink,14269920000000.0,39.634,41.553,46.61,0.37197345,Invalid KeyLink,22.515,-0.02057076,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_03:24:00_TAI,10856,3.354009e+22,1241.452,20607060000000.0,5.362,1336.015991,4.202855e+23,6086.303,Invalid KeyLink,13703760000000.0,39.091,41.506,45.818,0.37700754,Invalid KeyLink,21.436,-0.02027313,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2024.03.02_03:36:00_TAI,10856,3.300501e+22,1229.569,20436830000000.0,5.322,1317.702881,3.861237e+23,5677.084,Invalid KeyLink,13081290000000.0,38.75,41.985,46.596,0.39948186,Invalid KeyLink,20.824,-0.02036322,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
